Kind	Severity	Code	Count
diagnostic-type	error	CS8122	4
diagnostic-type	error	CS8072	3
diagnostic-type	error	CS0834	2
diagnostic-type	error	CS8188	2
diagnostic-type	error	CS8514	2
diagnostic-type	error	CS4010	1
diagnostic-type	error	CS8110	1
diagnostic-type	error	CS8849	1
