Severity	Code	Project	File	Line	Column	Message
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	165	17	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	166	17	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS0103	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	168	1	The name 'Handler' does not exist in the current context
error	CS1739	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	195	5	The best overload for 'Option' does not have a parameter named 'description'
error	CS1739	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	198	5	The best overload for 'Option' does not have a parameter named 'getDefaultValue'
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	201	13	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	202	13	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	203	13	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	204	13	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	205	13	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS0103	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	207	1	The name 'Handler' does not exist in the current context
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	232	16	'Command' does not contain a definition for 'AddOption' and no accessible extension method 'AddOption' accepting a first argument of type 'Command' could be found (are you missing a using directive or an assembly reference?)
error	CS0103	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	234	1	The name 'Handler' does not exist in the current context
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	259	13	'RootCommand' does not contain a definition for 'AddCommand' and no accessible extension method 'AddCommand' accepting a first argument of type 'RootCommand' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	260	13	'RootCommand' does not contain a definition for 'AddCommand' and no accessible extension method 'AddCommand' accepting a first argument of type 'RootCommand' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	261	13	'RootCommand' does not contain a definition for 'AddCommand' and no accessible extension method 'AddCommand' accepting a first argument of type 'RootCommand' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	262	13	'RootCommand' does not contain a definition for 'AddCommand' and no accessible extension method 'AddCommand' accepting a first argument of type 'RootCommand' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	263	13	'RootCommand' does not contain a definition for 'AddCommand' and no accessible extension method 'AddCommand' accepting a first argument of type 'RootCommand' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	264	13	'RootCommand' does not contain a definition for 'AddCommand' and no accessible extension method 'AddCommand' accepting a first argument of type 'RootCommand' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	265	13	'RootCommand' does not contain a definition for 'AddCommand' and no accessible extension method 'AddCommand' accepting a first argument of type 'RootCommand' could be found (are you missing a using directive or an assembly reference?)
error	CS1061	ZeroDaySearch.csproj	/home/rich/git/bad-code/ZeroDaySearch/Program.cs	267	26	'RootCommand' does not contain a definition for 'InvokeAsync' and no accessible extension method 'InvokeAsync' accepting a first argument of type 'RootCommand' could be found (are you missing a using directive or an assembly reference?)
