tfm	pack	assembly	file	kind	forwardsTo	version	publicTypes
net10.0	aspnetcore.app	Microsoft.AspNetCore.Components.Authorization	Microsoft.AspNetCore.Components.Authorization.dll	impl		10.0.0.0	11
net10.0	aspnetcore.app	Microsoft.AspNetCore.Components.Endpoints	Microsoft.AspNetCore.Components.Endpoints.dll	impl		10.0.0.0	21
net10.0	aspnetcore.app	Microsoft.AspNetCore.Components.Forms	Microsoft.AspNetCore.Components.Forms.dll	impl		10.0.0.0	9
net10.0	aspnetcore.app	Microsoft.AspNetCore.Components.Server	Microsoft.AspNetCore.Components.Server.dll	impl		10.0.0.0	18
net10.0	aspnetcore.app	Microsoft.AspNetCore.Components.Web	Microsoft.AspNetCore.Components.Web.dll	impl		10.0.0.0	80
net10.0	aspnetcore.app	Microsoft.AspNetCore.Connections.Abstractions	Microsoft.AspNetCore.Connections.Abstractions.dll	impl		10.0.0.0	55
net10.0	aspnetcore.app	Microsoft.AspNetCore.CookiePolicy	Microsoft.AspNetCore.CookiePolicy.dll	impl		10.0.0.0	7
net10.0	aspnetcore.app	Microsoft.AspNetCore.Cors	Microsoft.AspNetCore.Cors.dll	impl		10.0.0.0	19
net10.0	aspnetcore.app	Microsoft.AspNetCore.Cryptography.Internal	Microsoft.AspNetCore.Cryptography.Internal.dll	impl		10.0.0.0	0
net10.0	aspnetcore.app	Microsoft.AspNetCore.Cryptography.KeyDerivation	Microsoft.AspNetCore.Cryptography.KeyDerivation.dll	impl		10.0.0.0	2
net10.0	aspnetcore.app	Microsoft.AspNetCore.DataProtection	Microsoft.AspNetCore.DataProtection.dll	impl		10.0.0.0	67
net10.0	aspnetcore.app	Microsoft.AspNetCore.DataProtection.Abstractions	Microsoft.AspNetCore.DataProtection.Abstractions.dll	impl		10.0.0.0	4
net10.0	aspnetcore.app	Microsoft.AspNetCore.DataProtection.Extensions	Microsoft.AspNetCore.DataProtection.Extensions.dll	impl		10.0.0.0	3
net10.0	aspnetcore.app	Microsoft.AspNetCore.Diagnostics	Microsoft.AspNetCore.Diagnostics.dll	impl		10.0.0.0	20
net10.0	aspnetcore.app	Microsoft.AspNetCore.Diagnostics.Abstractions	Microsoft.AspNetCore.Diagnostics.Abstractions.dll	impl		10.0.0.0	9
net10.0	aspnetcore.app	Microsoft.AspNetCore.Diagnostics.HealthChecks	Microsoft.AspNetCore.Diagnostics.HealthChecks.dll	impl		10.0.0.0	4
net10.0	aspnetcore.app	Microsoft.AspNetCore.HostFiltering	Microsoft.AspNetCore.HostFiltering.dll	impl		10.0.0.0	4
net10.0	aspnetcore.app	Microsoft.AspNetCore.Hosting	Microsoft.AspNetCore.Hosting.dll	impl		10.0.0.0	15
net10.0	aspnetcore.app	Microsoft.AspNetCore.Hosting.Abstractions	Microsoft.AspNetCore.Hosting.Abstractions.dll	impl		10.0.0.0	16
net10.0	aspnetcore.app	Microsoft.AspNetCore.Hosting.Server.Abstractions	Microsoft.AspNetCore.Hosting.Server.Abstractions.dll	impl		10.0.0.0	6
net10.0	aspnetcore.app	Microsoft.AspNetCore.Html.Abstractions	Microsoft.AspNetCore.Html.Abstractions.dll	impl		10.0.0.0	8
net10.0	aspnetcore.app	Microsoft.AspNetCore.Http	Microsoft.AspNetCore.Http.dll	impl		10.0.0.0	42
net10.0	aspnetcore.app	Microsoft.AspNetCore.Http.Abstractions	Microsoft.AspNetCore.Http.Abstractions.dll	impl		10.0.0.0	93
net10.0	aspnetcore.app	Microsoft.AspNetCore.Http.Connections	Microsoft.AspNetCore.Http.Connections.dll	impl		10.0.0.0	12
net10.0	aspnetcore.app	Microsoft.AspNetCore.Http.Connections.Common	Microsoft.AspNetCore.Http.Connections.Common.dll	impl		10.0.0.0	5
net10.0	aspnetcore.app	Microsoft.AspNetCore.Http.Extensions	Microsoft.AspNetCore.Http.Extensions.dll	impl		10.0.0.0	27
net10.0	aspnetcore.app	Microsoft.AspNetCore.Http.Features	Microsoft.AspNetCore.Http.Features.dll	impl		10.0.0.0	46
net10.0	aspnetcore.app	Microsoft.AspNetCore.Http.Results	Microsoft.AspNetCore.Http.Results.dll	impl		10.0.0.0	48
net10.0	aspnetcore.app	Microsoft.AspNetCore.HttpLogging	Microsoft.AspNetCore.HttpLogging.dll	impl		10.0.0.0	11
net10.0	aspnetcore.app	Microsoft.AspNetCore.HttpOverrides	Microsoft.AspNetCore.HttpOverrides.dll	impl		10.0.0.0	13
net10.0	aspnetcore.app	Microsoft.AspNetCore.HttpsPolicy	Microsoft.AspNetCore.HttpsPolicy.dll	impl		10.0.0.0	8
net10.0	aspnetcore.app	Microsoft.AspNetCore.Identity	Microsoft.AspNetCore.Identity.dll	impl		10.0.0.0	46
net10.0	aspnetcore.app	Microsoft.AspNetCore.Localization	Microsoft.AspNetCore.Localization.dll	impl		10.0.0.0	15
net10.0	aspnetcore.app	Microsoft.AspNetCore.Localization.Routing	Microsoft.AspNetCore.Localization.Routing.dll	impl		10.0.0.0	1
net10.0	aspnetcore.app	Microsoft.AspNetCore.Metadata	Microsoft.AspNetCore.Metadata.dll	impl		10.0.0.0	2
net10.0	aspnetcore.app	Microsoft.AspNetCore.Mvc	Microsoft.AspNetCore.Mvc.dll	impl		10.0.0.0	1
net10.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.Abstractions	Microsoft.AspNetCore.Mvc.Abstractions.dll	impl		10.0.0.0	123
net10.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.ApiExplorer	Microsoft.AspNetCore.Mvc.ApiExplorer.dll	impl		10.0.0.0	8
net10.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.Core	Microsoft.AspNetCore.Mvc.Core.dll	impl		10.0.0.0	404
net10.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.Cors	Microsoft.AspNetCore.Mvc.Cors.dll	impl		10.0.0.0	2
net10.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.DataAnnotations	Microsoft.AspNetCore.Mvc.DataAnnotations.dll	impl		10.0.0.0	11
net10.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.Formatters.Json	Microsoft.AspNetCore.Mvc.Formatters.Json.dll	facade	Microsoft.AspNetCore.Mvc.Core	10.0.0.0	0
net10.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.Formatters.Xml	Microsoft.AspNetCore.Mvc.Formatters.Xml.dll	impl		10.0.0.0	22
net10.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.Localization	Microsoft.AspNetCore.Mvc.Localization.dll	impl		10.0.0.0	12
net10.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.Razor	Microsoft.AspNetCore.Mvc.Razor.dll	impl		10.0.0.0	46
net10.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.RazorPages	Microsoft.AspNetCore.Mvc.RazorPages.dll	impl		10.0.0.0	69
net10.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.TagHelpers	Microsoft.AspNetCore.Mvc.TagHelpers.dll	impl		10.0.0.0	36
net10.0	aspnetcore.app	Microsoft.AspNetCore.Mvc.ViewFeatures	Microsoft.AspNetCore.Mvc.ViewFeatures.dll	impl		10.0.0.0	136
net10.0	aspnetcore.app	Microsoft.AspNetCore.OutputCaching	Microsoft.AspNetCore.OutputCaching.dll	impl		10.0.0.0	12
